title,image_url,clustering_id
B751025206PH04PHOT68_salon_12_2_003.jpg,B751025206PH04PHOT68_salon_12_2_003.jpg,0
B751025206PH04PHOT68_salon_12_2_004.jpg,B751025206PH04PHOT68_salon_12_2_004.jpg,0
B751025206PH04PHOT68_salon_12_2_005.jpg,B751025206PH04PHOT68_salon_12_2_005.jpg,0
B751025206PH04PHOT68_salon_12_2_006.jpg,B751025206PH04PHOT68_salon_12_2_006.jpg,0
B751025206PH04PHOT68_salon_13_10_004.jpg,B751025206PH04PHOT68_salon_13_10_004.jpg,7
B751025206PH04PHOT68_salon_13_10_008.jpg,B751025206PH04PHOT68_salon_13_10_008.jpg,8
B751025206PH04PHOT68_salon_13_12_017.jpg,B751025206PH04PHOT68_salon_13_12_017.jpg,2
B751025206PH04PHOT68_salon_13_12_034.jpg,B751025206PH04PHOT68_salon_13_12_034.jpg,2
B751025206PH04PHOT68_salon_13_12_035.jpg,B751025206PH04PHOT68_salon_13_12_035.jpg,5
B751025206PH04PHOT68_salon_13_12_036.jpg,B751025206PH04PHOT68_salon_13_12_036.jpg,5
B751025206PH04PHOT68_salon_13_12_037.jpg,B751025206PH04PHOT68_salon_13_12_037.jpg,8
B751025206PH04PHOT68_salon_13_12_131.jpg,B751025206PH04PHOT68_salon_13_12_131.jpg,5
B751025206PH04PHOT68_salon_13_14_006.jpg,B751025206PH04PHOT68_salon_13_14_006.jpg,8
B751025206PH04PHOT68_salon_13_14_012.jpg,B751025206PH04PHOT68_salon_13_14_012.jpg,4
B751025206PH04PHOT68_salon_13_14_017.jpg,B751025206PH04PHOT68_salon_13_14_017.jpg,8
B751025206PH04PHOT68_salon_13_14_029.jpg,B751025206PH04PHOT68_salon_13_14_029.jpg,8
B751025206PH04PHOT68_salon_13_3_004.jpg,B751025206PH04PHOT68_salon_13_3_004.jpg,8
B751025206PH04PHOT68_salon_13_3_008.jpg,B751025206PH04PHOT68_salon_13_3_008.jpg,2
